Species	flagellar_proteins	No_of_proteins
Bacillus sp. PAMC22265 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. PAMC26543 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. PAMC26568 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. PAMC28571 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. PAMC28748 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. Pc3 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. PDNC022 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. S3 	flgA,flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. SD-4 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus sp. SDLI1 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. SH8-8 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. SJ-10 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. SPB7 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. SYJ 	flgA,flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	34
Bacillus sp. THAF10 	flgA,flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. TK-2 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. V3 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. wens01 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. WP8 	flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. WR11 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. X1(2014) 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Bacillus sp. Y-01 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Bacillus sp. Y1 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. YP1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. ZY-1-1 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus subtilis BEST7003 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis BEST7613 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	41
Bacillus subtilis BSn5 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis HJ5 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis KCTC 1028 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis PY79 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis QB928 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. globigii strain ATCC 49760 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. natto BEST195 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. natto BN0 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. spizizenii ATCC 6633 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. spizizenii str. W23 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. spizizenii TU-B-10 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis 6051-HGW 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis str. 168 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis str. AG1839 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis strain 168G 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis str. BAB-1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis str. BSP1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis str. JH642 substr. AG174 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis str. NCIB 3610 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus subtilis subsp. subtilis str. OH 131.1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis str. RO-NN-1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis subsp. subtilis str. SMY 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus subtilis TO-A 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus subtilis XF-1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus tequilensis strain EA-CB0015 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus thermoamylovorans strain SSBM 	flgA,flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	41
Bacillus thermocopriae strain DUT50_236 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus thuringiensis 97-27 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis BMB171 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus thuringiensis Bt18247 strain Bt18247 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis Bt407 	flgA,flgB,flgD,flgE,flgF,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	34
Bacillus thuringiensis HD1002 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis HD-771 	flgB,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus thuringiensis HD-789 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis LM1212 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis MC28 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis serovar alesti strain BGSC 4C1 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis serovar chinensis CT-43 	flgA,flgB,flgD,flgE,flgF,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	34
Bacillus thuringiensis serovar coreanensis strain ST7 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis serovar finitimus YBT-020 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus thuringiensis serovar galleriae HD-29 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis serovar indiana strain HD521 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus thuringiensis serovar israelensis strain BGSC 4Q7rifR 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis serovar konkukian str. 97-27 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus thuringiensis serovar kurstaki HD 1 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis serovar kurstaki str. HD-1 	flgB,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus thuringiensis serovar kurstaki str. HD73 	flgB,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus thuringiensis serovar kurstaki str. YBT-1520 	flgA,flgB,flgD,flgE,flgF,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	34
Bacillus thuringiensis serovar morrisoni str. 4AA1 	flgA,flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	34
Bacillus thuringiensis serovar morrisoni strain BGSC 4AA1 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis serovar thuringiensis str. IS5056 	flgB,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	32
Bacillus thuringiensis serovar tolworthi 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus thuringiensis str. Al Hakam 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
